#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=5800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=5800 vbv_bufsize=11600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:115 out:116 type:b dur:2 cpbdur:2 q:6.25 aq:0.01 tex:244 mv:53 misc:495 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:6.09 aq:0.13 tex:469 mv:111 misc:572 imb:6 pmb:12 smb:8142 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:6.09 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:6.09 aq:0.01 tex:243 mv:50 misc:499 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:6.09 aq:0.01 tex:244 mv:53 misc:495 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:5.94 aq:0.08 tex:379 mv:105 misc:564 imb:6 pmb:10 smb:8144 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:6.09 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:6.09 aq:0.01 tex:243 mv:50 misc:499 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:6.09 aq:0.01 tex:244 mv:53 misc:495 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:6.39 aq:1.85 tex:109304 mv:466 misc:1254 imb:39 pmb:772 smb:7349 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:6.39 aq:2.33 tex:3133 mv:345 misc:1530 imb:1 pmb:434 smb:7725 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:6.39 aq:3.59 tex:17537 mv:416 misc:1479 imb:0 pmb:385 smb:7775 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:6.39 aq:3.27 tex:732 mv:90 misc:554 imb:0 pmb:24 smb:8136 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:4.43 aq:1.97 tex:15313 mv:181 misc:1434 imb:4 pmb:323 smb:7833 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:6.38 aq:0.00 tex:577 mv:130 misc:789 imb:0 pmb:69 smb:8091 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:6.39 aq:0.00 tex:472 mv:80 misc:528 imb:0 pmb:20 smb:8140 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:6.37 aq:0.00 tex:440 mv:52 misc:508 imb:0 pmb:16 smb:8144 d:- ref:0 ;
